YWCA_NOUN _NOUN_,1088
Yanxi _PRT_,1121
Yahweh ._.,8674
YE_NOUN _._,2596
Y'know_X _._,1907
Yao .,10847
Yau _._,2546
Yan Qingqing_NOUN,1305
YHWH _ADP_,3458
Yang_NOUN would,2642
Year was_VERB,1140
Ye to_PRT,2541
Yan Qiu_NOUN,6629
Y OU_PRON,3363
Yano ,,2226
Y._NOUN A._NOUN,3126
YOUNG_NOUN MAN_NOUN,1385
Y.H._NOUN ,,3763
YOU REALLY,1014
Yale School,2401
Y_NOUN A_NOUN,3061
Y. Yu_NOUN,1227
Y_NOUN _NUM_,52314
Yarrow_NOUN _VERB_,3143
YOU SAY_VERB,1055
Yao_NOUN in,1360
Yanko _VERB_,2748
Yeah_X _NOUN_,1986
Yan suddenly_ADV,1988
Yea_X ,_.,13577
Y_PRON ",2265
Yeah _ADJ_,1773
YHVH_NOUN _._,1575
Ya_PRON Ya_PRON,4312
YF --_.,1220
Yao_NOUN Hai,2786
Yancey ,_.,2462
Y. Hu,1141
Yan_NOUN Li_NOUN,1855
Y_NOUN +_NOUN,3911
YES_NOUN _NOUN_,7271
YS_NOUN (,1007
Y_NOUN l_NOUN,1215
YOU_PRON 'VE,1400
Ye_NOUN nodded,1217
Y._NOUN Lu_NOUN,1507
YOU_PRON SHOULD,3531
Y (,61612
Yankees_NOUN had,1320
Yang_NOUN were,1071
Yahweh )_.,1069
Y j_NOUN,3285
YOU_PRON FEEL,1097
Yang did_VERB,5965
Yang_NOUN had,8905
Y_NOUN (_.,61005
YD _._,1937
Yasuda ,_.,2455
Y.K. ,,1843
Yale_NOUN Law_NOUN,11145
Yalta ,_.,1737
Yang Yang,3164
Yangtze _._,2121
YH ,_.,6976
YEAR IN,1357
Ye_NOUN family,1935
Yao_NOUN was,13805
Ye_PRON see_VERB,1030
Yao smiled_VERB,2071
Yankee_NOUN Stadium_NOUN,4131
Yale _NOUN_,186354
YOUTH_NOUN :,3864
Ye_NOUN '_PRT,3161
Ye_NOUN Tian,52650
YOUR_PRON _VERB_,1458
Yang_NOUN suddenly_ADV,1306
YEARS _ADV_,3943
Ye_NOUN could_VERB,2084
Yan'an_NOUN _._,1124
Yang_NOUN Wei,1586
Yang Xin,24721
Yan Fei,1446
Y. Zhao_NOUN,3016
Y F_NOUN,1445
YH_NOUN ,,6976
Yalom 's_PRT,1053
Y. Huang,2576
Yan_NOUN Jing,1920
Y ORK_NOUN,2498
Yang City_NOUN,1951
Y ?_.,1810
Y'all are_VERB,1248
Yan Kai,2531
Ye_NOUN felt,1029
Y._NOUN Y.,3411
YA ,_.,2865
YOU_PRON SEE_VERB,1534
Yan wanted_VERB,1076
YEARS_NOUN _VERB_,1106
YF --,1220
YN _._,2667
YIELD :,7560
Yano ,_.,2224
YIVO_NOUN _NOUN_,1710
Y. ,_.,317472
Yan _NUM_,1568
Yan wanted,1076
Ye 's,20084
Y '_.,4366
Yankees .,4929
Yarn_NOUN _._,1402
YI ,_.,1202
Y._NOUN B.,2029
Y chromosome,5890
Yale_NOUN _CONJ_,3701
Y_NOUN and_CONJ,17135
Yang_NOUN was_VERB,16642
Ye_NOUN had_VERB,6418
Y axis_NOUN,2797
Y. F._NOUN,2400
YOU_PRON !_.,7910
Y_NOUN [_X,2280
Yan Hui,1386
Y._NOUN M.,7316
Ye suddenly,1167
Yang_NOUN Xiao,20469
Yan'er ,,3122
Ya'ara_NOUN _VERB_,1285
Yang_NOUN took_VERB,1771
Y._NOUN Kim_NOUN,1992
YOU_PRON NEED_VERB,3971
Yan is,3294
Yang Qiao_NOUN,2086
Yancy _VERB_,1480
Yarrowia _NOUN_,1232
Yalta ,,1740
Yankees _CONJ_,2064
YA _._,5056
Yahweh ',1664
Yahweh to_PRT,1369
YOU '_VERB,7904
Y ou,6380
YEAR _NOUN_,5781
Y.P._NOUN ,,1540
Ya to_PRT,1413
Ye Tang,1394
Yang Qiao,2086
Yale_NOUN Center_NOUN,1345
Yanxi_NOUN _PRT_,1121
Yamanaka_NOUN _._,1724
Y *,3833
Yager ,_.,1550
Yao is,1520
Yahweh is,4242
YOU_PRON MUST_VERB,1785
YES_X ,,3024
Year_NOUN 2000,2559
Yan_NOUN Qiao_NOUN,1029
Yamaguchi ,,6272
Y C,1913
Yang_NOUN felt_VERB,1898
YL_NOUN ,_.,3686
YT_NOUN ,_.,2426
Y._NOUN Zhang,8239
Y.S. _._,5047
Yano _NOUN_,1482
Yamashita_NOUN ,,3976
Yamanaka ,,1523
Year_NOUN .,20076
Yao Ming_NOUN,1211
YC ,_.,5319
Ya_PRON '_PRT,1430
Yaner_NOUN 's,2780
Yan_NOUN walked,1102
YES_X !,4432
Year_ADJ Plans_NOUN,1020
Ya _ADP_,2995
Yagi_NOUN ,,1437
Year II_NOUN,1008
Y.P._NOUN ,_.,1540
Y.-H. ,,1164
Ye said_VERB,5424
YES ,,5434
Y_NOUN k,3350
Year_NOUN ,_.,25268
Yair_NOUN _._,1457
Yan_NOUN et,3460
Yanks _._,1893
Ye_NOUN _DET_,2596
Ya !_.,1800
Yan_NOUN nodded,2565
Yash_NOUN _VERB_,1200
Ye_NOUN Qing_NOUN,10352
Yard_NOUN 55_NUM,1114
Yan_NOUN in,2171
Ye Yi_NOUN,3757
YOURSELF_PRON _ADP_,1843
Year _X_,1404
Y_NOUN t,1223
Yang_NOUN .,19126
Ya_PRON think,1049
YOU_PRON ,_.,11085
Yao_NOUN immediately,1099
Yankees had_VERB,1320
Y_PRON are_VERB,1021
YIN_NOUN _NOUN_,1522
Yala _._,1259
Yale _ADP_,3446
Yan saw,1552
Y_NOUN →,2136
Yadin_NOUN ,,1176
Yao_NOUN _CONJ_,10720
Ye Er_NOUN,1119
Yang :_.,1009
Ye_NOUN must,1126
YEAR_NOUN _._,5202
Yahweh_NOUN _NOUN_,3449
Y_PRON ou,3807
YD_NOUN _._,1790
Y._NOUN and_CONJ,13890
Year_ADJ _ADJ_,2326
Yao_NOUN _NOUN_,81954
Yang_NOUN thought_VERB,1064
YT_NOUN ,,2426
Yankee_NOUN Stadium,4131
Y._NOUN _ADV_,2602
Y_NOUN t_NOUN,1101
Yang_NOUN _PRT_,41381
Ya think,1049
Yassin _._,1352
Yan ',5974
Yao_NOUN ?,1559
YEAR OF_ADP,1500
Year 4_NUM,2973
Yan_NOUN et_NOUN,3445
Yamagata ,_.,1073
YEARS_NOUN LATER_ADV,1107
Y and,17222
Yangon_NOUN _._,2971
Year 11_NUM,1191
Year Ended,3254
Yayınları_NOUN ,,1601
Yang in,2273
Yang_NOUN Xiao_NOUN,20469
Yan_NOUN Luo_NOUN,2889
Yard_NOUN 's_PRT,1068
YEAS ALEXANDER,1439
Ye_NOUN Lan_NOUN,1479
YQ ,_.,1387
YEAR _ADP_,4161
Yankee_NOUN Doodle_NOUN,2958
Ya_PRON Ya,4312
Ye were,1239
Yamashita_NOUN _NOUN_,3101
Y.L. _._,2568
Yann_NOUN _._,1046
YR_NOUN -_.,3129
Y_PRON _VERB_,10027
YOU_PRON LIKE_VERB,1001
Yamasaki_NOUN _._,1534
Y. Zhou_NOUN,2123
Yannis _NOUN_,1550
Y_NOUN from_ADP,1006
Yang 's,32824
Y_NOUN r,1039
YR --_.,1724
